day,area,vi,t_p,a_t,a_h,a_w
20190101,남원읍,211275,0,5.058333333,57.875,5.35
20190102,남원읍,168727,0,6.120833333,59.5,4.2375
20190103,남원읍,169277,4,5.604166667,79.58333333,1.570833333
20190104,남원읍,165544,7,8.145833333,67.29166667,4.8375
20190105,남원읍,168558,0,8.541666667,44.66666667,2.875
20190106,남원읍,181077,0,7.6125,49.45833333,3.3375
20190107,남원읍,158883,0,7.770833333,59.45833333,5.391666667
20190108,남원읍,167292,0,4.391666667,56.70833333,5.833333333
20190109,남원읍,173199,1,7.195833333,65.16666667,2.558333333
20190110,남원읍,178591,0,8.120833333,63.79166667,3.366666667
20190111,남원읍,177749,8,9.8375,69.5,3.925
20190112,남원읍,198291,0,8.829166667,59.20833333,4.620833333
20190113,남원읍,214602,0,7.404166667,60.83333333,2.525
20190114,남원읍,196300,0,8.470833333,54.70833333,2.508333333
20190115,남원읍,196244,0,4.195833333,58.08333333,5.945833333
20190116,남원읍,188012,0,5.225,54,3.9125
20190117,남원읍,192114,0,6.745833333,56.625,2.9375
20190118,남원읍,204289,5,7.1125,77,1.604166667
20190119,남원읍,219719,2,9.233333333,67.41666667,5.866666667
20190120,남원읍,201479,0,5.825,56.33333333,5.5375
20190121,남원읍,180015,0,5.833333333,64.16666667,1.879166667
20190122,남원읍,193150,0,6.120833333,61,2.108333333
20190123,남원읍,197763,0,8.691666667,44.41666667,2.895833333
20190124,남원읍,196824,0,7.7125,42.75,3.741666667
20190125,남원읍,185859,0,4.079166667,52.375,6.466666667
20190126,남원읍,197027,0,6.508333333,45.75,3.779166667
20190127,남원읍,204332,0,6.316666667,65.20833333,2.770833333
20190128,남원읍,182010,0,6.341666667,54.91666667,3.25
20190129,남원읍,180337,1,8.920833333,67.70833333,1.5875
20190130,남원읍,170010,15,5.925,80.66666667,4.879166667
20190131,남원읍,127518,0,5.258333333,54.79166667,3.3
20190201,남원읍,120211,0,5.595833333,67.79166667,2.541666667
20190202,남원읍,158107,9,14.80833338,82.375,4.804166667
20190203,남원읍,173928,0,9.270833333,46.16666667,6.420833333
20190204,남원읍,264804,0,7.625,53,2.225
20190205,남원읍,358954,0,12.37083333,64.83333333,1.841666667
20190206,남원읍,211649,3,9.525,70.5,4.1625
20190207,남원읍,136875,0,6.7,32.04166667,5.783333333
20190208,남원읍,145198,4,4.225,59,5.908333333
20190209,남원읍,152890,0,4.025,52.95833333,3.479166667
20190210,남원읍,158610,2,4.429166667,61.16666667,5.325
20190211,남원읍,149117,0,5.479166667,42.75,4.1875
20190212,남원읍,161965,0,7.908333333,49.20833333,3.854166667
20190213,남원읍,163434,0,6.4375,51.66666667,4.395833333
20190214,남원읍,160759,7,6.025,76.54166667,2.258333333
20190215,남원읍,149199,2,6.3125,58.95833333,5.3
20190216,남원읍,174688,0,5.925,55.45833333,4.683333333
20190217,남원읍,178511,4,6.925,66.33333333,1.595833333
20190218,남원읍,151256,12,11.70833342,79.66666667,3.254166667
20190219,남원읍,144162,0,9.1625,60.25,3.3
20190220,남원읍,160267,0,8.8375,47.79166667,3.529166667
20190221,남원읍,156304,4,9.0625,63.54166667,3.108333333
20190222,남원읍,149858,2,9.083333333,63.54166667,2.7125
20190223,남원읍,189257,0,11.29583333,57.25,2.929166667
20190224,남원읍,185038,0,10.49583333,51.625,2.783333333
20190225,남원읍,172359,0,12.18333329,26.95833333,3.116666667
20190226,남원읍,164378,5,10.58333333,64.875,2.766666667
20190227,남원읍,146228,5,11.0125,69.875,3.7625
20190228,남원읍,156947,0,11.10833333,40.04166667,3.754166667
20190301,남원읍,182550,4,10.40833333,60.41666667,2.383333333
20190302,남원읍,176853,6,11.33333333,76.79166667,2.9375
20190303,남원읍,131432,7,10.92916667,67.83333333,5.033333333
20190304,남원읍,109651,0,12.03333338,41.95833333,3.529166667
20190305,남원읍,126634,13,11.01666667,75.54166667,3.870833333
20190306,남원읍,113276,0,9.504166667,55,5.8125
20190307,남원읍,127578,0,8.545833333,48.54166667,2.183333333
20190308,남원읍,140072,5,9.020833333,76.375,1.8125
20190309,남원읍,152619,21,11.97083333,89.625,4.45
20190310,남원읍,110722,1,11.45,58.04166667,4.3125
20190311,남원읍,128607,0,10.85,62.375,3.466666667
20190312,남원읍,132808,0,8.875,37.33333333,4.9875
20190313,남원읍,133291,0,8.2,48.33333333,1.808333333
20190314,남원읍,137831,0,10.07916667,64.29166667,3.470833333
20190315,남원읍,135080,0,8.808333333,50.95833333,3.345833333
20190316,남원읍,164049,0,12.95833333,52.25,3.329166667
20190317,남원읍,166215,3,11.175,66.54166667,1.633333333
20190318,남원읍,146991,5,11.86666667,74.75,1.795833333
20190319,남원읍,145941,5,12.24166675,79.875,1.766666667
20190320,남원읍,143542,7,16.26666663,81.83333333,3.958333333
20190321,남원읍,150756,0,12.95833333,33.125,3.654166667
20190322,남원읍,159679,0,9.208333333,38.20833333,6.1875
20190323,남원읍,167312,0,7.8875,51.45833333,4.320833333
20190324,남원읍,173208,0,8.229166667,62.41666667,1.741666667
20190325,남원읍,158758,0,11.52500008,65.41666667,1.941666667
20190326,남원읍,168432,0,14.70416675,65.58333333,3.9
20190327,남원읍,186362,0,15.89166663,67.83333333,2.6625
20190328,남원읍,202796,0,14.37083342,75.79166667,1.791666667
20190329,남원읍,189405,0,14.21666667,61.375,2.270833333
20190330,남원읍,183363,0,8.55,40.70833333,4.8625
20190331,남원읍,172882,0,8.708333333,43.70833333,3.020833333
20190401,남원읍,154595,0,11.18333333,55.95833333,2.970833333
20190402,남원읍,182772,0,11.89166671,31.25,3.583333333
20190403,남원읍,194381,0,9.341666667,51.41666667,2.3625
20190404,남원읍,199833,0,13.93333329,57.625,3.141666667
20190405,남원읍,185949,0,12.52083338,76.04166667,2.033333333
20190406,남원읍,189073,1,15.23333329,81.41666667,3.3
20190407,남원읍,186629,0,15.07499992,80.29166667,1.866666667
20190408,남원읍,166634,4,14.225,73.95833333,2.929166667
20190409,남원읍,155526,11,13.08333333,83.75,3.833333333
20190410,남원읍,152592,0,11.52083333,70.45833333,3.720833333
20190411,남원읍,176422,0,13.34166667,54.91666667,3.370833333
20190412,남원읍,179362,0,12.29999996,61.66666667,1.625
20190413,남원읍,199461,0,14.42916667,66.5,2.241666667
20190414,남원읍,185959,0,15.48750013,27.58333333,5.241666667
20190415,남원읍,160069,0,13.8708335,62.5,1.5125
20190416,남원읍,167556,5,15.34166663,76.125,1.525
20190417,남원읍,160947,0,13.62916663,81.25,2.154166667
20190418,남원읍,170650,0,15.35416671,81.20833333,2.104166667
20190419,남원읍,178503,0,16.99166671,74.29166667,2.616666667
20190420,남원읍,202017,0,16.0375,75.375,1.479166667
20190421,남원읍,190122,0,16.55416692,65.79166667,1.658333333
20190422,남원읍,148197,9,17.58749992,86.04166667,2.358333333
20190423,남원읍,127693,4,18.28333317,81.875,3.0625
20190424,남원읍,165475,1,17.31666675,83.25,1.558333333
20190425,남원읍,174663,0,15.26249996,74.25,2.191666667
20190426,남원읍,172177,0,13.31666671,64.66666667,3.958333333
20190427,남원읍,192806,0,14.29166679,64.5,2.1375
20190428,남원읍,180298,16,16.29166679,85.91666667,2.583333333
20190429,남원읍,136705,3,16.26666679,80.83333333,3.379166667
20190430,남원읍,170802,0,16.90416671,76.91666667,1.629166667
20190501,남원읍,176130,0,19.10416642,41.125,3.125
